,location_url,route_url,state
111,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/cinq-jour-daffille/105827119,Minnesota
112,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/cool-for-cats/105831587,Minnesota
113,http://www.mountainproject.com/v/perfect-crimb-area/105813079,http://www.mountainproject.com/v/advanced-birding/105842122,Minnesota
114,http://www.mountainproject.com/v/perfect-crimb-area/105813079,http://www.mountainproject.com/v/the-perfect-crimb/105826069,Minnesota
115,http://www.mountainproject.com/v/perfect-crimb-area/105813079,http://www.mountainproject.com/v/crank-n-go-go/105826082,Minnesota
116,http://www.mountainproject.com/v/perfect-crimb-area/105813079,http://www.mountainproject.com/v/hateful-pleasures/105826100,Minnesota
117,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/doctor-limit/105826091,Minnesota
118,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/frequent-flatulence/105825974,Minnesota
119,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/no-whippin-boys/105826839,Minnesota
120,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/two-tone-zephyr/105825445,Minnesota
121,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/prairie-fire/105826290,Minnesota
122,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/call-of-the-mild/105832919,Minnesota
123,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/goofed-on-skunk-weed/105825456,Minnesota
124,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/doctor-rock/105825969,Minnesota
125,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/three-fat-chicks-on-a-world-tour/105842372,Minnesota
126,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/pleasant-summer-absence/105830742,Minnesota
127,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/blue-moon/105826795,Minnesota
128,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/vertical-vice/105830747,Minnesota
129,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/pandemonium/105830832,Minnesota
130,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/living-postmortems/105826845,Minnesota
131,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/jennas-face/105842207,Minnesota
132,http://www.mountainproject.com/v/new-vice-area/105813082,http://www.mountainproject.com/v/bf-bugs/105842364,Minnesota
133,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/arachnid-tendencies/105843549,Minnesota
134,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/quick-draw-moves-to-hollywood/105842391,Minnesota
135,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/needles-and-pins/105826285,Minnesota
136,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/talking-with-god/105842437,Minnesota
137,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/multiple-stab-wounds/105842424,Minnesota
138,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/space-warp/105842394,Minnesota
139,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/dumpster-does-duffels/105843552,Minnesota
140,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/weenies-and-nerds/105843538,Minnesota
141,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/in-the-pink/105842386,Minnesota
142,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/why-doesnt-anybody-climb-this/105842403,Minnesota
143,http://www.mountainproject.com/v/large-roof-area/105813088,http://www.mountainproject.com/v/tub-toys/105842415,Minnesota
144,http://www.mountainproject.com/v/kanaranzi-buttress-south-face/105830714,http://www.mountainproject.com/v/the-layback/105830736,Minnesota
145,http://www.mountainproject.com/v/kanaranzi-buttress-south-face/105830714,http://www.mountainproject.com/v/kanaranzi-corner/105990186,Minnesota
146,http://www.mountainproject.com/v/kanaranzi-buttress-east-face/105830754,http://www.mountainproject.com/v/crazy-crack/105830757,Minnesota
147,http://www.mountainproject.com/v/5-saturday-buttress/105827307,http://www.mountainproject.com/v/jaspers-dihedral/105827346,Minnesota
148,http://www.mountainproject.com/v/5-saturday-buttress/105827307,http://www.mountainproject.com/v/gullivers-travels/105827452,Minnesota
149,http://www.mountainproject.com/v/5-saturday-buttress/105827307,http://www.mountainproject.com/v/black-wall/105827525,Minnesota
150,http://www.mountainproject.com/v/5-saturday-buttress/105827307,http://www.mountainproject.com/v/black-and-blue-bulge/105827515,Minnesota
151,http://www.mountainproject.com/v/5-saturday-buttress/105827307,http://www.mountainproject.com/v/old-stump/105827359,Minnesota
152,http://www.mountainproject.com/v/6-midnight-buttress/105827319,http://www.mountainproject.com/v/mean-streak/105829759,Minnesota
153,http://www.mountainproject.com/v/7-sunday-buttress/105827322,http://www.mountainproject.com/v/balcony-center/105870943,Minnesota
154,http://www.mountainproject.com/v/7-sunday-buttress/105827322,http://www.mountainproject.com/v/cactus-capers/105878709,Minnesota
155,http://www.mountainproject.com/v/7-sunday-buttress/105827322,http://www.mountainproject.com/v/balcony-right/105870974,Minnesota
156,http://www.mountainproject.com/v/9-chimney-buttress/105827325,http://www.mountainproject.com/v/x/105878414,Minnesota
157,http://www.mountainproject.com/v/9-chimney-buttress/105827325,http://www.mountainproject.com/v/z/105873410,Minnesota
158,http://www.mountainproject.com/v/9-chimney-buttress/105827325,http://www.mountainproject.com/v/y/105873405,Minnesota
